,0
221,"Not me spending my last day before school starts doing hours of meal prep. 💀

These recipes require half a butternut squash each, so I got one precut butternut squash package &amp; made them at the same time:
Butternut Squash &amp; Spinach Lasagna
Creamy Butternut Squash Curry Over Rice https://t.co/TNGaPQzS7e"
222,"What are some things incoming students should consider when it comes to #mentalhealthsupport?

Tips for accommodations? Disclosure (when to open up or to who)? How to find local #mentalhealth resources in a new setting? #bipolar #depression

https://t.co/Faygcs3o90"
223,"Do you have specific tips for incoming students with #mentalhealth conditions? Let me know!

I'm glad to see that this topic is being more openly discussed but there is still so much work to do! #MentalHealthMatters #bipolardisorder #depression

https://t.co/9RUoNp604B"
224,"What are your #mentalhealth tips for incoming college and grad students? Let me know! #MentalHealthMatters #StudentMentalHealth 

7 Mental Health Tips for Incoming Graduate Students https://t.co/ea6vFBtLJd"
225,RT @StynaLane: Please don’t deprive yourself of community (and accommodations!!) because you’re worried that you’re not “disabled enough” t…
226,"RT @CREST_BD: STUDY NOW OPEN! 📱 Live with #bipolar? Be the first to try our new app for bipolar disorder.

The PolarUs app helps you learn…"
227,Tah-dah! https://t.co/jUm6ftkxUF
228,"Yeah, I totally have hot Saturday night plans. 

The plan:
https://t.co/AzBNXPt7yg #RecipeOfTheDay #recipe #cooking https://t.co/rzwiWbHL4Z"
229,RT @CaraLisette: I got mine for free 🥰
230,"RT @ChaseTMAnderson: Support people living with mental illness.

Support policies that support people living with mental illness.

Support…"
231,@realQrampage I thought a previous tweet meant you had 3 dates in *one* night. 😅
232,"I actually made one of the hundreds of my saved Instagram recipe posts today... 😅 

Creamy cherry tomato pasta (w/ crushed red pepper for a kick &amp; garlic bread sticks) #Cooking
#pasta #RecipeOfTheDay

https://t.co/w8WEk8WNhi https://t.co/KCJ5upIGWk"
233,"RT @JessSprengleLPC: Jenette McCurdy's ""I'm Glad My Mom Died"" is a profound and honest account of abuse and exploitation that we don't see…"
234,RT @MonicaLMolinaro: SO REALLY TO DISMISS QUALITATIVE RESEARCH BECAUSE IT ISN'T GENERALIZABLE DOESN'T MAKE SENSE BECAUSE THE INTENT OF QUAL…
235,RT @kristuhhhh: I need there to be a school psychologist on #AbbottElementary . How classic would that be @nasponline @TheBlackSPs @quintab…
236,"RT @JanelCubbage: We deserve interventions that are built for us from the ground up, not ones that are just “culturally-adapted” after the…"
237,"RT @BecomingDrHines: I’ve seen other medical students doing this so we might as well start a PSYCHIATRY version…

If you love your psychiat…"
238,💜💛💜 #GoPirates https://t.co/BU6fooA6hj
239,Introducing today's Current Graduate Student Panelist: Ms. Pumpkin 😂 #FallVibes https://t.co/EgizxNPkZY
240,RT @CaraLisette: Personal attacks from either side are not okay - this is an issue that affects people deeply and everyone has reasons to f…
241,"RT @JanelCubbage: What do you consider to be hot button issues within the field of #suicidology?

#TherapyTwitter #SuicidePrevention"
242,"RT @PsychinOut: 8 Questions to Answer before Applying to Grad School in Psych! Sample answers, tips, and resources from successful applican…"
243,Scholastic Book Fair day levels of excitement from today's packages. ❤ #ImGladMyMomDied https://t.co/Cm7Ts0EzDb
244,Adorable #schoolpsychology planner &amp; laptop stickers are most definitely a required school purchase for the upcoming semester. I mean... look at them.  😍 https://t.co/Tp9zRknoHW
245,"RT @metraux_julia: I'm just a chronically ill person, sitting in front of my computer, frustrated that many online/hybrid events stopped.…"
246,@DystOptimist Exciting! This is SC.
247,august (Anja's Version) https://t.co/h5pXgoQUXA
248,RT @Sutapa2712: Can anyone get me in touch with someone who’s doing their masters or PhD in clinical psychology from Australia? #internatio…
249,"RT @GHMansfield: Woman in pharmacy to me, a wheelchair user; “I couldn’t live with what you do. Being in a wheelchair is not a life. I’d ra…"
250,"RT @grodriguezlemus: Tip for graduate students: Read outside your discipline, take classes outside your discipline, and engage with scholar…"
251,I have problems... A) Not enough bookshelf space. B) Not enough money for all the books I want to own. 🤣
252,RT @npcrowe: Anyone have good recommendations for books/memoirs that would be good for an intro to Medical Humanities course?
253,"Me: I *WILL* stop buying books.
Also me: 👀 https://t.co/VuB5mKNftk"
254,RT @DrCamilaPulgar: #SuicideResearchers What are your favorites #suicide related conferences to attend and present your work?
255,RT @CaraLisette: Recovery on social media so rarely looks like recovery in real life. Nobody should feel pressured to share their distress…
256,"RT @drjessigold: In case you want to hang and chat tomorrow.....

Some good articles on this as well:
https://t.co/xwLTsJhRRg

https://t.co…"
257,"RT @marieclaire: As in many Asian American immigrant homes, wellness wasn’t a part of @mindykaling's childhood. The themes that have come t…"
258,"Meal prep attempt: tomorrow's &amp; today's  lunch. Should've stuck with just deconstructed sushi rolls/bowls bc I don't know how to actually make sushi rolls... 😂

https://t.co/tNXfyLlaok https://t.co/IONTBxGCVD"
259,"RT @jackiethelight: For those interested - here is my poster from #APA2022 :)

Canva just may be THAT girl... 🙈 https://t.co/cRzJhI9eEb"
260,"RT @nasponline: If ignored, mental health problems can interfere with children's learning, development, relationships, and physical health.…"
261,"RT @SFreedenthal: Excellent thread, &amp; many comments are gold, too.

Trying to persuade a suicidal person they’re wrong can lead to power st…"
262,RT @AnnalieseNeaman: Since I began studying psychology I have been unable to get a position as a research assistant due to my lack of exper…
263,"@PonziniG People's responses on Twitter to their experiences with CBT practices have made me question how often CBT is being practiced in a culturally-informed, anti-oppressive, trauma-informed, and validating manner."
264,"@PonziniG I've heard that some people think it feels invalidating. I'm unsure if some variation (e.g., TF-CBT) would be a better fit. E.g., If someone is bringing up racial trauma &amp; oppression, challenging those ""negative"" thoughts may not be appropriate... https://t.co/DAT8TRrLjY https://t.co/5EpWPw81PA"
265,"@realQrampage I think a lot of the bios mentioning exercise (e.g., ""looking for a gym/hiking buddy"") are just code for ""if you're not super thin, I'm swiping left""."
266,Back in NC ❤ https://t.co/giYUDaiLoj
267,"RT @BecomingaThera: Hey #TherapistTwitter,

what 1-3 books would you suggest a new therapist read their first year?"
268,"RT @nasponline: Angela Mann, FASP President, guest writes for The Florida Times Union about racism in Florida schools. She encourages engag…"
269,RT @SchoolPsychLife: One of the reasons this piece is so powerful is because Dr. Mann is speaking up and out against racism in a state that…
270,RT @K_GuyonHarris: 👋🏼 #AcademicTwitter Just hired my 1st ever employee- a super 🌟 RA with amazing initiative. I want to build a lab where f…
271,"RT @DrNidaMirza: “Eating disorders, including anorexia nervosa, bulimia nervosa and binge eating disorder, are some of the most fatal menta…"
272,"RT @McDuesenberg: ‼️Calling all school psychologists, SpEd teachers, and elementary education teachers who are currently practicing OR in t…"
273,"@BecauseIMatter I understand the need to voice concerns about misdiagnoses or overdiagnosing (common concerns), but this isn't the way to go about it. It seems to invalidate the diagnostic process entirely as well as minimize people's experiences."
274,"@drjessigold @iamjohnoliver I knew when I saw the video in my suggestions that a) I needed to watch it ASAP, b) it would make me so mad about the state of everything, &amp; c) it would have so many good points."
275,@BecauseIMatter It's surprising the sheer amount of inaccurate info that can fit within 280 characters. 👀
276,FACT SHEET:  Biden-Harris Administration Announces Two New Actions to Address Youth Mental Health Crisis https://t.co/Nu2nG1qzBv via @whitehouse
277,"RT @drjessigold: “If we want to be a society that truly respects and values mental health, we have to respect and value mental health care…"
278,"RT @ZJAyres: I don't think I should need to say this but no-one should have to prove they are disabled ""enough""."
279,"RT @nainikahira: @PsychinOut is a global resource hub of 2,000+ aspiring and current researcher and practitioner students (many Ph.D. train…"
280,"So many frustrating problems around #mentalhealth care...

Mental Health Care: Last Week Tonight with John Oliver (HBO) https://t.co/6vNxlubmW7 via @YouTube"
281,"Alexa, play august by Taylor Swift."
282,"@drlindanp @DrMarinaHarris #Selfcare is important! ❤️ 

However, it's frustrating to see workplaces fail to acknowledge their role in causing #burnout. Self-care alone can't undo the stress of 80-hr workweeks. Suggesting self-care w/o addressing the source can seem like putting a bandaid on a bullet wound."
283,"@ac_robers @BobsBurgersFOX Congratulations!!! Also, that is so creative!"
284,"@DrMarinaHarris If a ton of ppl in a field are experiencing burnout, that's not an individual issue; it's a systemic issue (e.g., overworked). The solution should address the source of burnout. The self-care ""solution"" places the blame on individuals (""just try harder"") rather than the source."
285,"RT @DrMarinaHarris: Prescribing ""self-care"" for burnout is victim blaming. Full stop."
286,"RT @Tinu: I’m so tired of the assumption that disabled workers aren’t productive. 

And productivity culture."
287,RT @SchoolPsychLife: When I was given the chance to share important stories with @NPR I had to advocate for more Black male School Psycholo…
288,"RT @EveRosenfeldPhD: I heard we're ready for #ApologyGate memes now? Here are 17 memes (for 17 articles on ""conversion therapy""). I made th…"
289,"RT @PhilOfLife_: ""If You’re Often Depressed, Read This""

Psychology Thread https://t.co/Ljdhmbavpo"
290,"RT @Ryanzoriaa: Come join our fantastic lab! We have many ongoing projects, including a study I recently finished collecting data on focuse…"
291,"RT @DocRobPhD23: I will recruit a #PhD student w #suicideprevention, #LGBTQ #mentalhealth, or #HateCrime research interests for fall '23. #…"
292,Few Black men become school psychologists. Here's why that matters https://t.co/Plu7ypMExa #schoolpsychology #psychology
293,"Would it be okay to email to ask the author(s) of a study to share their study's questionnaire? 👀

The authors stated the *number* of items taken from other inventories/questionnaires/scales, but that doesn't tell me specifically *which* items they included in their own study..."
294,RT @juliaaccase: I led a workshop on one of my favorite therapy tools this morning: safety planning (SP)! SPs get a lot of flack (“this is…
295,"RT @fortesalatifi: working on a feature for @TeenVogue about what it means to be young &amp; sick

what is it like to be chronically ill/disabl…"
296,"@drjessigold Is it trending again? Already?

One of the only times that I actually liked a depression hashtag was when people were using it to explain their own experiences of depression (#DepressionFeelsLike).

https://t.co/H2n1k4uO5t"
297,"RT @nasponline: Introducing, the 2022 National School Psychology Week theme: ""Together We Shine!"" Join us November 7-11 to celebrate hope a…"
298,RT @bwisco: Psych twitter: I’m looking for a single session intervention for promoting wellness/preventing burnout in medical residents.  I…
299,RT @HeyChristaMarie: Accessibility for disabled people isn't only about wheelchair users.
